street,number,zip,city,lat,lng
Langbos,26,7861BC,Oosterhesselen,52.75610095977088,6.724093574749883
Velder,6,5146HE,Waalwijk,51.67298568676541,5.033548200295374
Boerenweg,30,5944EK,Arcen,51.47984766244175,6.182638717828498
Algenstraat,2,7601CK,Almelo,52.34551062482552,6.666535733277642
Rozemarijntuin,24,9408AG,Assen,53.00005928610615,6.5096257555205534
Bloemenweg,24,7011AJ,Gaanderen,51.931469421717374,6.350291755081964
Draaischijf,3,6596GG,Milsbeek,51.72807653568229,5.950177384815524
Rietgors,124,2991MV,Barendrecht,51.85797515230682,4.5477221799021175
Gijsbreght van Amstelstraat,2,4906JG,Oosterhout,51.65275050347618,4.836135425681719
Tuinstraat,18,5741EM,Beek en Donk,51.53944850508034,5.6335994557183
Biesven,4a,5595DD,Leende,51.35174416290241,5.547331904863951
P.C.Quantstraat,40,4461VD,Goes,51.50215444827694,3.902043682920031
Bundersestraat,3066,5012TB,Tilburg,51.59148275571268,5.105573237083445
Juweellaan,508,2719SX,Zoetermeer,52.038378359053866,4.48053744140579
Laurastraat,7G07,,Hengelo,52.25569884937941,6.772234001802856
Kievitlaan,50,,Goes,51.50571736274153,3.892873244402824
Padbree,11,7481HK,Haaksbergen,52.15097152341309,6.732367501119948
Workumerdijk,9,8754EX,Makkum,53.054137853451024,5.402809996008873
Pastoor van Leijsenstraat,17,4721AR,Schijf,51.49875498026207,4.561904551400441
Klaas van der Meijstrjitte,1A,9045PZ,Bitgummole,53.23399449292584,5.70360626737736
Schrijnwerkersgilde,8,3994XM,Houten,52.03153402305131,5.176864066241174
Burg G van Andellaan,15,3214TA,Zuidland,51.8232400044932,4.251082948098464
Emmastraat,29,2712CX,Zoetermeer,52.05270752752036,4.493585273633808
Lauwers,234,2401BR,Alphen aan den Rijn,52.15128452331282,4.6519305762263885
Jan van Galenstraat,2492,1056BX,Amsterdam,52.37304711603933,4.8512404304766905
Europaweg,30,7903TM,Hoogeveen,52.73645575341452,6.520670033304031
Westkadijk,2a,3861MB,Nijkerk,52.22611590612611,5.482026794707296
Koningsspil,19,1834TG,Sint Pancras,52.662707441881125,4.793362849085565
Diepenheimseweg,44D02,7161LW,Neede,52.18010620378102,6.587474687308229
Diabaas,14,2719RW,Zoetermeer,52.03799607642536,4.47817089319485
Van Walbeeckstraat,141,1058CR,Amsterdam,52.36023974722229,4.85127769536251
Schoolstraat,7,5721AL,Asten,51.40587613012652,5.738856067776171
Cornelie van Zantenstraat,304,2551PT,'s-Gravenhage,52.05579646263924,4.236341459910292
Kalkwijkstraat,16,5045PR,Tilburg,51.57571475121589,5.000634734977892
Spekklef,13,5841CM,Oploo,51.59464874814347,5.8496402737419455
Wederikstraat,29,6832HK,Arnhem,51.96297763709122,5.9159911834433
Belemnieterf,225,6413LZ,Heerlen,50.91240104803231,5.955186978162648
Dorpsstraat,29,4451BA,Heinkenszand,51.47351584301222,3.814051736314224
West-Varkenoordseweg,147,3074HP,Rotterdam,51.8959708052456,4.515450255866143
Ravelijn,30a,4285ED,Woudrichem,51.80731677974326,5.00076652600627
Johannes Vermeerstraat,16,1318JA,Almere,52.38295215279302,5.248694004195187
Verbeetenstraat,34A8,4812XL,Breda,51.5784477045643,4.755911681504074
Molenbeekweg,15,5951NZ,Belfeld,51.31628285306776,6.139114265448124
Herenweg,62,3602AR,Maarssen,52.14117544177999,5.073712973612032
Prins Hendrikkade,82A,3071KE,Rotterdam,51.91306503443142,4.496027374432866
Rozegaarde,51,3075VK,Rotterdam,51.88374444916669,4.512529168154754
Jan Mayenlaan,20,2803XL,Gouda,52.02276776500823,4.696986213662628
Aansteede,4,5051LK,Goirle,51.520908294882986,5.074313606369553
Themislaan,57,1702AT,Heerhugowaard,52.66932564462788,4.828957655475125
Westblaak,32D05,3012KM,Rotterdam,51.91693950100201,4.478130951343187
Piet van der Vossenstraat,1,7041LC,'s-Heerenberg,51.880276220681054,6.25662922229703
Ring,95,3247BN,Dirksland,51.74802552739813,4.100812658624164
Tinweg,6K,8304BP,Emmeloord,52.686042574067606,5.740242230531275
Korenstraat,74,7908NL,Hoogeveen,52.71852063752019,6.442191957784648
Kruisstraat,12A,6301PC,Valkenburg,50.83808277029837,5.833794625127834
Prins Frederik Hendrikstraat,60B,3051ES,Rotterdam,51.94334506906456,4.478265673061051
Witterzomer,1,9405VE,Assen,52.98109015579841,6.515107648661956
Roemer Visscherstraat,314,3132EZ,Vlaardingen,51.91090535124946,4.311998258183835
Jasmijnstraat,1,6163GM,Geleen,50.98152205179564,5.813808066402223
Albert Schweitzersingel,394,3822BZ,Amersfoort,52.18295416225947,5.408468434469377
Berkenplein,300K128,1112CL,Diemen,52.33785271486596,4.957242824577604
Beitelstraat,5,7556ND,Hengelo,52.2806391457558,6.808326630614317
J.H. Egenbergerstraat,9aa,,Groningen,53.204831684778114,6.501801456619199
Dr. Coppesstraat,83,7523EK,Enschede,52.23658890846285,6.887218479339948
Reindersdijk,55469,7751SH,Dalen,52.67554384553466,6.762609042986457
Tuindersweg,4A,9364PT,Nuis,53.154267434901904,6.292263281957632
Emmalaan,33,6571AK,Berg en Dal,51.82741374249777,5.910430938839507
Mariniershof,118,3011NA,Rotterdam,51.92284435418252,4.490501150013862
Rijtuigweg-Zuid,131,4611WR,Bergen op Zoom,51.497640046150494,4.280041780505704
Kikkerveen,240,3205XG,Spijkenisse,51.83514844593001,4.337561026637811
Noordstraat,63,4361BL,Westkapelle,51.52814659009165,3.4372528662217467
Mauritsplein,43,6641BK,Beuningen Gld,51.86190333301323,5.771312688091242
Korenmaat,1,9405TL,Assen,52.97265735284088,6.556603683487466
Edelmanlaan,74,3903XR,Veenendaal,52.01683765177396,5.550525804866524
Nijmansbos,14,7543GJ,Enschede,52.20437181019492,6.867431917113921
Maarten Kruytstraat,2A9,2202GX,Noordwijk,52.2423898397734,4.431746019641715
Roemer Visscherstraat,2,,Waddinxveen,52.05405688163876,4.652026197324128
Bernard van Meursstraat,20,7131XH,Lichtenvoorde,51.98350216601459,6.575389522130823
Prinses Margrietstraat,80,3554GH,Utrecht,52.11272475082463,5.088954051432207
Griend 11,31,8225VG,Lelystad,52.49899680152594,5.481992575493128
Hannemanstraat,174,2526VJ,'s-Gravenhage,52.06921565812014,4.309924201912452
Betouwstraat,47,5931PD,Tegelen,51.33933889887349,6.137454594804754
Oranjestraat,98A,6101HZ,Echt,51.10352158284552,5.879119293762207
Jo van Ammersstraat,2B,5122CK,Rijen,51.58352188330941,4.935342000685393
Gronausestraat,133,7581CE,Losser,52.25750447961833,7.009084043065513
Johanna van Woudelaan,2,1948DE,Beverwijk,52.4901255132416,4.685241024864647
Kasteel-Traverse,84K,5701NR,Helmond,51.47774652706198,5.658698375481895
Fabryksloane,6,9223NJ,Houtigehage,53.15107533717234,6.135836118217401
Overnes,43,3813NS,Amersfoort,52.17452372015375,5.39146326732932
Mussenhaag,10G05,,Maastricht,50.82851569297362,5.721957181650576
Ursulinenhof,11,6001JD,Weert,51.252342044464775,5.706038196260016
De Hezelaar,1,5461EJ,Veghel,51.61811004741676,5.551306000374424
Christiaan Huygenslaan,59,3769XS,Soesterberg,52.11672811690962,5.281118814815025
Leidsevaart,148,2211WD,Noordwijkerhout,52.24910471592879,4.501601561417718
Korenbloemstraat,15g,5741VV,Beek en Donk,51.529235021188335,5.630445690772682
Stiegert,30,7482GD,Haaksbergen,52.15985199813517,6.722141091331298
Nijreesmiddenweg,12,7609PE,Almelo,52.33562063144656,6.661775198811002
